smiles,A,B,C,mu,alpha,homo,lumo,r2,zpve,u0,cv,u0_atom
C,157.7118,157.70997,157.70699,0.0,13.21,-0.3877,0.1171,35.3641,0.044749,-40.47893,6.469,-395.999594594
N,293.60975,293.54111,191.39397,1.6256,9.46,-0.257,0.0829,26.1563,0.034358,-56.525887,6.316,-276.861363363
O,799.58812,437.90386,282.94545,1.8511,6.31,-0.2928,0.0687,19.0002,0.021375,-76.404702,6.002,-213.087623693
C#C,0.0,35.6100361,35.6100361,0.0,16.28,-0.2845,0.0506,59.5248,0.026841,-77.308427,8.574,-385.501996533
C#N,0.0,44.593883,44.593883,2.8937,12.99,-0.3604,0.0191,48.7476,0.016601,-93.411888,6.278,-301.820533838
C=O,285.48839,38.9823,34.29892,2.1089,14.18,-0.267,-0.0406,59.9891,0.026603,-114.483613,6.413,-358.756935444
CC,80.46225,19.90649,19.90633,0.0,23.95,-0.3385,0.1041,109.5031,0.074542,-79.764152,10.098,-670.78829573
CO,127.83497,24.85872,23.97872,1.5258,16.97,-0.2653,0.0784,83.794,0.051208,-115.679136,8.751,-481.106757737
CC#C,160.28041,8.59323,8.59321,0.7156,28.78,-0.2609,0.0613,177.1963,0.05541,-116.609549,12.482,-670.268090769
CC#N,159.03567,9.22327,9.22324,3.8266,24.45,-0.3264,0.0376,160.7223,0.045286,-132.71815,10.287,-589.812024334
CC=O,57.22434,10.11122,9.07368,2.5682,25.11,-0.254,-0.0198,166.9728,0.055355,-153.787612,11.219,-645.328373073
C(=O)N,73.8472,11.34793,9.83639,3.7286,21.57,-0.2543,0.0302,145.3078,0.045279,-169.860788,10.89,-542.642800313
CCC,29.45018,8.37701,7.42076,0.0597,34.75,-0.323,0.0949,227.1361,0.103182,-119.052475,14.84,-947.522902275
CCO,35.09545,9.3686,8.1497,1.4131,27.87,-0.2619,0.0798,193.1659,0.079754,-154.972731,13.546,-761.14959173
COC,39.37691,10.04033,8.90353,1.1502,28.13,-0.2525,0.091,187.1015,0.079534,-154.960361,12.934,-753.3873054
C1CC1,20.15852,20.15302,12.5891,0.0005,30.82,-0.2888,0.1042,155.8145,0.081231,-117.824798,11.041,-804.996155596
C1CO1,25.77385,22.12109,14.18066,1.7675,24.04,-0.2682,0.1042,129.891,0.057289,-153.742562,9.176,-617.059092623
CC(=O)C,10.12193,8.49011,4.89615,2.7362,35.53,-0.2431,-0.0087,292.4367,0.083382,-193.08834,16.893,-929.847228763
CC(=O)N,10.78886,9.27509,5.14977,3.6367,31.83,-0.2436,0.0347,267.6148,0.07319,-209.159302,16.561,-825.772351077
C(=O)(N)N,11.1475,10.36388,5.42091,3.4869,28.07,-0.2495,0.0556,244.2308,0.063824,-225.221461,15.292,-716.173511664
CC(C)C,7.75166,7.74847,4.48668,0.0897,45.46,-0.3167,0.0843,355.0621,0.131146,-158.342346,20.273,-1225.228892752
CC(C)O,8.67553,8.00568,4.75542,1.4259,38.58,-0.2612,0.074,318.3721,0.107673,-194.267232,19.052,-1041.760948877
C#CC#C,0.0,4.4259726,4.4259726,0.0,38.52,-0.2599,-0.0214,278.6264,0.037354,-153.459846,15.312,-672.822679908
C#CC#N,0.0,4.5793222,4.5793222,3.792,32.66,-0.3102,-0.0543,260.1896,0.027259,-169.557758,12.93,-585.659169772
C(#N)C#N,0.0,4.73269,4.73269,0.0023,27.7,-0.3696,-0.0926,242.9308,0.015951,-185.648533,10.398,-494.017127903
C#CC=O,68.5171,4.8345,4.51586,2.7824,31.14,-0.2777,-0.0735,268.3921,0.037208,-190.624631,13.049,-639.55089771
C(=O)C#N,67.88408,5.00823,4.66413,2.3112,26.25,-0.3166,-0.11,251.0007,0.02654,-206.721858,11.329,-551.957543909
C(=O)C=O,56.25048,4.77441,4.40088,0.002,26.12,-0.2668,-0.1113,266.8164,0.036943,-227.798785,12.147,-612.158247333
CC#CC,80.28766,3.3688,3.3688,0.0,42.32,-0.2412,0.0684,400.2236,0.083896,-155.908941,17.447,-953.948594435
CCC#C,27.39459,4.53005,4.08342,0.7067,40.09,-0.2592,0.0566,333.9589,0.084338,-155.897345,17.13,-946.672000071
CCC#N,28.0016,4.67752,4.21765,3.9233,35.38,-0.3213,0.034,314.5335,0.07419,-172.006141,14.988,-866.338297891
C(C#N)N,32.19893,4.76299,4.30696,4.4361,31.81,-0.2683,0.0173,295.6635,0.063305,-188.042067,14.488,-740.278014881
C#CCO,35.11615,4.66117,4.22354,1.7211,33.1,-0.2595,0.0277,300.0993,0.060632,-191.810916,15.855,-756.103791861
